Shipping Mode,Sales per customer,Benefit per order,Order Item Quantity,Actual Delivery Status,Predicted Delivery Status,Late Delivery Risk %,Risk Category,AI Recommendation
Standard Class,29.11000061,1.830000043,1,Late,On Time,38.18,Low Risk,Standard delivery process
Standard Class,168.0,43.68000031,4,On Time,On Time,39.74,Low Risk,Standard delivery process
Standard Class,290.9700012,-494.6499939,3,On Time,On Time,40.03,Low Risk,Standard delivery process
Standard Class,207.4199982,101.6299973,5,On Time,On Time,41.84,Low Risk,Standard delivery process
First Class,237.1900024,38.65999985,1,Late,Late,96.21,High Risk,Expedite shipment immediately
Second Class,127.3899994,36.93999863,1,Late,Late,79.66,Medium Risk,Monitor shipment closely
Standard Class,195.9199982,0.0,4,On Time,On Time,41.49,Low Risk,Standard delivery process
Second Class,165.9799957,58.09000015,2,Late,Late,80.69,High Risk,Expedite shipment immediately
First Class,15.10999966,2.640000105,1,Late,Late,94.2,High Risk,Expedite shipment immediately
First Class,399.980011,119.9899979,1,Late,Late,96.47,High Risk,Expedite shipment immediately
Second Class,136.4499969,15.42000008,3,Late,Late,79.43,Medium Risk,Monitor shipment closely
First Class,95.98999786,47.04000092,1,Late,Late,96.78,High Risk,Expedite shipment immediately
Standard Class,33.99000168,10.64000034,1,On Time,On Time,40.48,Low Risk,Standard delivery process
Standard Class,107.9800034,-7.670000076,2,Late,On Time,42.14,Low Risk,Standard delivery process
Standard Class,363.980011,174.7100067,1,On Time,On Time,41.13,Low Risk,Standard delivery process
First Class,239.9799957,67.19999695,1,Late,Late,95.87,High Risk,Expedite shipment immediately
Standard Class,147.0,72.02999878,3,On Time,On Time,40.14,Low Risk,Standard delivery process
Second Class,299.980011,-4.199999809,1,Late,Late,81.01,High Risk,Expedite shipment immediately
Standard Class,383.980011,48.0,1,Late,On Time,41.5,Low Risk,Standard delivery process
Standard Class,85.0,0.850000024,2,On Time,On Time,41.39,Low Risk,Standard delivery process
Standard Class,149.3800049,68.70999908,3,On Time,On Time,39.68,Low Risk,Standard delivery process
Standard Class,197.9900055,95.04000092,1,Late,On Time,43.37,Low Risk,Standard delivery process
Same Day,296.980011,-48.40999985,1,On Time,Late,56.48,Medium Risk,Monitor shipment closely
Standard Class,99.58000183,28.87999916,2,On Time,On Time,40.33,Low Risk,Standard delivery process
Standard Class,41.5,3.109999895,1,On Time,On Time,41.36,Low Risk,Standard delivery process
Standard Class,94.5,0.0,2,On Time,On Time,40.68,Low Risk,Standard delivery process
Same Day,163.7799988,54.04999924,2,On Time,On Time,49.2,Low Risk,Standard delivery process
Second Class,185.9900055,21.02000046,1,On Time,Late,81.98,High Risk,Expedite shipment immediately
Second Class,347.980011,113.0899963,1,Late,Late,78.16,Medium Risk,Monitor shipment closely
First Class,113.6999969,32.97000122,5,Late,Late,97.22,High Risk,Expedite shipment immediately
Standard Class,94.48999786,46.29999924,1,On Time,On Time,40.29,Low Risk,Standard delivery process
Second Class,130.5,-35.88999939,3,On Time,Late,80.72,High Risk,Expedite shipment immediately
Standard Class,335.980011,84.0,1,Late,On Time,44.02,Low Risk,Standard delivery process
Standard Class,42.5,-8.5,1,On Time,On Time,41.46,Low Risk,Standard delivery process
Standard Class,299.980011,86.98999786,1,On Time,On Time,40.07,Low Risk,Standard delivery process
First Class,13.18999958,1.320000052,1,Late,Late,96.03,High Risk,Expedite shipment immediately
Same Day,248.9799957,34.36000061,1,On Time,Late,51.16,Medium Risk,Monitor shipment closely
Second Class,40.79000092,18.36000061,1,Late,Late,81.75,High Risk,Expedite shipment immediately
Second Class,189.0,-10.77000046,4,Late,Late,79.1,Medium Risk,Monitor shipment closely
Second Class,272.980011,10.10000038,1,Late,Late,79.22,Medium Risk,Monitor shipment closely
Second Class,371.980011,42.02999878,1,Late,Late,78.89,Medium Risk,Monitor shipment closely
Second Class,40.47000122,15.77999973,3,On Time,Late,79.8,Medium Risk,Monitor shipment closely
Second Class,152.9700012,-237.1100006,3,Late,Late,81.32,High Risk,Expedite shipment immediately
First Class,112.4599991,9.899999619,3,Late,Late,95.02,High Risk,Expedite shipment immediately
Standard Class,99.58000183,34.84999847,2,On Time,On Time,40.63,Low Risk,Standard delivery process
First Class,147.0,38.22000122,3,Late,Late,96.21,High Risk,Expedite shipment immediately
Standard Class,339.980011,125.7900009,1,On Time,On Time,38.59,Low Risk,Standard delivery process
Second Class,195.9499969,50.95000076,5,Late,Late,80.85,High Risk,Expedite shipment immediately
Standard Class,88.0,-73.30000305,2,Late,On Time,42.35,Low Risk,Standard delivery process
Standard Class,38.79000092,14.07999992,1,On Time,On Time,38.93,Low Risk,Standard delivery process
Second Class,127.9700012,31.98999977,4,Late,Late,83.09,High Risk,Expedite shipment immediately
Second Class,163.7700043,18.51000023,3,Late,Late,80.77,High Risk,Expedite shipment immediately
Second Class,434.9599915,208.7799988,5,On Time,Late,73.11,Medium Risk,Monitor shipment closely
Second Class,124.7900009,12.47999954,1,Late,Late,81.34,High Risk,Expedite shipment immediately
Standard Class,92.98999786,10.51000023,1,Late,On Time,40.21,Low Risk,Standard delivery process
Standard Class,95.98000336,41.27000046,2,Late,On Time,41.02,Low Risk,Standard delivery process
Second Class,112.4599991,55.09999847,3,Late,Late,77.95,Medium Risk,Monitor shipment closely
First Class,113.0899963,14.14000034,1,Late,Late,95.69,High Risk,Expedite shipment immediately
First Class,37.5,12.75,1,Late,Late,95.95,High Risk,Expedite shipment immediately
Second Class,98.37999725,27.54999924,2,Late,Late,80.32,High Risk,Expedite shipment immediately
Second Class,78.38999939,8.619999886,1,Late,Late,79.25,Medium Risk,Monitor shipment closely
Standard Class,474.9500122,154.3600006,5,On Time,On Time,38.5,Low Risk,Standard delivery process
Standard Class,107.8899994,8.090000153,1,On Time,On Time,40.21,Low Risk,Standard delivery process
Standard Class,146.9400024,-5.579999924,3,On Time,On Time,40.35,Low Risk,Standard delivery process
Standard Class,247.3999939,74.22000122,5,Late,On Time,38.52,Low Risk,Standard delivery process
Standard Class,149.9900055,13.19999981,1,Late,On Time,40.2,Low Risk,Standard delivery process
First Class,149.9900055,9.449999809,1,Late,Late,96.04,High Risk,Expedite shipment immediately
Standard Class,127.3899994,9.550000191,1,On Time,On Time,39.73,Low Risk,Standard delivery process
Second Class,391.980011,132.4900055,1,Late,Late,81.28,High Risk,Expedite shipment immediately
Standard Class,371.9599915,120.8899994,4,Late,On Time,41.38,Low Risk,Standard delivery process
Standard Class,113.3799973,36.84999847,2,On Time,On Time,40.43,Low Risk,Standard delivery process
Same Day,129.9900055,22.10000038,1,Late,Late,50.7,Medium Risk,Monitor shipment closely
Standard Class,174.5700073,54.63999939,3,Late,On Time,40.7,Low Risk,Standard delivery process
First Class,155.9700012,77.98999786,3,Late,Late,96.48,High Risk,Expedite shipment immediately
Standard Class,440.9500122,27.78000069,5,Late,On Time,35.24,Low Risk,Standard delivery process
Standard Class,199.9900055,92.0,1,Late,On Time,43.17,Low Risk,Standard delivery process
First Class,272.9700012,92.26000214,3,Late,Late,96.75,High Risk,Expedite shipment immediately
Standard Class,212.4199982,57.34999847,5,On Time,On Time,38.05,Low Risk,Standard delivery process
Standard Class,153.5599976,4.610000134,4,On Time,On Time,41.68,Low Risk,Standard delivery process
Standard Class,379.980011,132.9900055,1,On Time,On Time,43.86,Low Risk,Standard delivery process
Standard Class,106.5899963,31.97999954,1,On Time,On Time,40.47,Low Risk,Standard delivery process
Standard Class,120.0,9.0,3,On Time,On Time,40.58,Low Risk,Standard delivery process
Standard Class,163.9900055,-30.82999992,1,Late,On Time,39.31,Low Risk,Standard delivery process
First Class,161.9700012,77.75,3,Late,Late,96.32,High Risk,Expedite shipment immediately
Second Class,181.9499969,63.68000031,5,Late,Late,79.76,Medium Risk,Monitor shipment closely
Standard Class,391.980011,180.3099976,1,Late,On Time,39.93,Low Risk,Standard delivery process
Standard Class,37.99000168,7.599999905,1,On Time,On Time,38.78,Low Risk,Standard delivery process
First Class,284.980011,99.73999786,1,Late,Late,96.09,High Risk,Expedite shipment immediately
Second Class,134.9499969,63.41999817,3,Late,Late,80.27,High Risk,Expedite shipment immediately
Standard Class,163.9900055,12.30000019,1,On Time,On Time,37.8,Low Risk,Standard delivery process
Second Class,248.9799957,90.37999725,1,Late,Late,79.74,Medium Risk,Monitor shipment closely
Standard Class,263.9599915,69.41999817,5,On Time,On Time,38.41,Low Risk,Standard delivery process
Standard Class,143.9799957,48.65999985,3,On Time,On Time,40.31,Low Risk,Standard delivery process
Standard Class,93.0,32.54999924,2,On Time,On Time,39.85,Low Risk,Standard delivery process
Standard Class,114.3899994,41.52000046,1,On Time,On Time,39.83,Low Risk,Standard delivery process
Second Class,293.980011,-196.0800018,1,Late,Late,79.77,Medium Risk,Monitor shipment closely
Standard Class,269.9899902,94.5,1,On Time,On Time,39.36,Low Risk,Standard delivery process
Standard Class,111.5800018,52.43999863,2,On Time,On Time,41.32,Low Risk,Standard delivery process
Same Day,194.0,89.23999786,4,On Time,On Time,48.35,Low Risk,Standard delivery process
Standard Class,178.1699982,83.73999786,3,Late,On Time,39.4,Low Risk,Standard delivery process
Standard Class,299.9899902,84.0,1,On Time,On Time,40.2,Low Risk,Standard delivery process
Standard Class,110.4899979,23.30999947,1,Late,On Time,40.06,Low Risk,Standard delivery process
Second Class,20.48999977,5.329999924,1,Late,Late,80.13,High Risk,Expedite shipment immediately
Standard Class,9.460000038,0.949999988,1,On Time,On Time,44.79,Low Risk,Standard delivery process
First Class,339.980011,-63.24000168,1,Late,Late,96.48,High Risk,Expedite shipment immediately
Standard Class,226.7599945,79.37000275,4,On Time,On Time,40.01,Low Risk,Standard delivery process
Standard Class,189.9900055,66.5,1,On Time,On Time,37.71,Low Risk,Standard delivery process
Standard Class,335.980011,90.72000122,1,Late,On Time,40.16,Low Risk,Standard delivery process
Standard Class,106.5899963,10.65999985,1,On Time,On Time,40.72,Low Risk,Standard delivery process
Second Class,193.9900055,89.23999786,1,Late,Late,80.45,High Risk,Expedite shipment immediately
Second Class,103.9899979,-76.23000336,1,Late,Late,80.7,High Risk,Expedite shipment immediately
Standard Class,120.8899994,55.61000061,1,On Time,On Time,40.17,Low Risk,Standard delivery process
Standard Class,232.4100037,17.43000031,5,On Time,On Time,39.0,Low Risk,Standard delivery process
First Class,245.9600067,-17.45999908,5,Late,Late,96.57,High Risk,Expedite shipment immediately
Standard Class,74.97000122,17.84000015,2,Late,On Time,39.0,Low Risk,Standard delivery process
Standard Class,191.9900055,-73.52999878,1,On Time,On Time,38.6,Low Risk,Standard delivery process
Standard Class,32.99000168,10.72000027,1,On Time,On Time,40.65,Low Risk,Standard delivery process
First Class,240.0,79.19999695,5,Late,Late,96.19,High Risk,Expedite shipment immediately
First Class,299.9899902,87.0,1,Late,Late,96.42,High Risk,Expedite shipment immediately
Second Class,248.9600067,15.68000031,5,On Time,Late,81.62,High Risk,Expedite shipment immediately
First Class,119.9700012,58.79000092,3,Late,Late,97.05,High Risk,Expedite shipment immediately
Standard Class,254.9799957,-31.87000084,1,On Time,On Time,40.01,Low Risk,Standard delivery process
First Class,113.0899963,27.13999939,1,Late,Late,96.01,High Risk,Expedite shipment immediately
Standard Class,90.95999908,-13.01000023,2,On Time,On Time,40.54,Low Risk,Standard delivery process
Second Class,293.9500122,82.30999756,5,Late,Late,83.8,High Risk,Expedite shipment immediately
First Class,142.5,-30.92000008,3,Late,Late,96.99,High Risk,Expedite shipment immediately
Second Class,163.9900055,-120.2099991,1,On Time,Late,80.73,High Risk,Expedite shipment immediately
First Class,175.9600067,63.86999893,5,Late,Late,97.0,High Risk,Expedite shipment immediately
Standard Class,132.7700043,51.77999878,4,Late,On Time,40.84,Low Risk,Standard delivery process
Standard Class,143.9400024,37.43000031,3,Late,On Time,41.1,Low Risk,Standard delivery process
Standard Class,185.9900055,50.22000122,1,On Time,On Time,38.78,Low Risk,Standard delivery process
Second Class,9.579999924,0.959999979,1,On Time,Late,82.32,High Risk,Expedite shipment immediately
Standard Class,132.0,64.68000031,3,On Time,On Time,40.18,Low Risk,Standard delivery process
Standard Class,127.3899994,43.06000137,1,On Time,On Time,39.5,Low Risk,Standard delivery process
Standard Class,319.980011,108.7900009,1,Late,On Time,39.68,Low Risk,Standard delivery process
Standard Class,41.0,3.609999895,1,Late,On Time,40.3,Low Risk,Standard delivery process
Standard Class,52.18999863,-93.94000244,1,On Time,On Time,40.02,Low Risk,Standard delivery process
Second Class,230.1199951,23.01000023,1,Late,Late,80.26,High Risk,Expedite shipment immediately
Standard Class,207.4199982,-352.6099854,5,On Time,On Time,40.1,Low Risk,Standard delivery process
Standard Class,359.980011,116.9899979,1,On Time,On Time,40.95,Low Risk,Standard delivery process
Standard Class,434.9599915,52.18999863,5,Late,On Time,39.42,Low Risk,Standard delivery process
Standard Class,299.9899902,146.9900055,1,On Time,On Time,40.61,Low Risk,Standard delivery process
Standard Class,118.2900009,31.94000053,1,On Time,On Time,37.39,Low Risk,Standard delivery process
Standard Class,399.4400024,-306.3699951,1,On Time,On Time,40.69,Low Risk,Standard delivery process
Standard Class,197.9799957,93.05000305,2,On Time,On Time,41.74,Low Risk,Standard delivery process
Second Class,151.1699982,-15.11999989,3,On Time,Late,79.31,Medium Risk,Monitor shipment closely
First Class,82.98999786,10.36999989,1,Late,Late,95.5,High Risk,Expedite shipment immediately
Standard Class,335.980011,151.1900024,1,On Time,On Time,43.91,Low Risk,Standard delivery process
Standard Class,96.95999908,7.269999981,2,On Time,On Time,40.78,Low Risk,Standard delivery process
Standard Class,47.25,3.539999962,1,Late,On Time,40.81,Low Risk,Standard delivery process
Standard Class,40.93999863,3.069999933,1,On Time,On Time,40.15,Low Risk,Standard delivery process
Second Class,118.2900009,41.40000153,1,Late,Late,80.83,High Risk,Expedite shipment immediately
Same Day,116.9899979,36.61999893,1,On Time,Late,53.52,Medium Risk,Monitor shipment closely
Same Day,97.48999786,13.44999981,1,Late,Late,52.42,Medium Risk,Monitor shipment closely
Standard Class,199.1699982,51.77999878,4,On Time,On Time,41.48,Low Risk,Standard delivery process
Second Class,46.47999954,10.46000004,1,Late,Late,80.35,High Risk,Expedite shipment immediately
Standard Class,55.77000046,-13.27000046,3,On Time,On Time,41.15,Low Risk,Standard delivery process
Second Class,387.980011,186.2299957,1,Late,Late,79.81,Medium Risk,Monitor shipment closely
Standard Class,165.9900055,83.0,1,On Time,On Time,39.46,Low Risk,Standard delivery process
Standard Class,49.5,19.30999947,1,Late,On Time,40.51,Low Risk,Standard delivery process
First Class,245.2899933,26.97999954,1,Late,Late,96.03,High Risk,Expedite shipment immediately
Standard Class,245.9799957,108.2300034,1,On Time,On Time,41.4,Low Risk,Standard delivery process
Standard Class,199.9900055,12.60000038,1,Late,On Time,39.31,Low Risk,Standard delivery process
Same Day,79.97000122,-5.679999828,2,Late,Late,52.79,Medium Risk,Monitor shipment closely
Standard Class,126.0899963,36.5699997,1,Late,On Time,38.91,Low Risk,Standard delivery process
Second Class,116.1999969,43.58000183,5,Late,Late,80.3,High Risk,Expedite shipment immediately
First Class,118.7799988,38.59999847,2,Late,Late,95.79,High Risk,Expedite shipment immediately
Standard Class,331.9700012,-564.3400269,4,On Time,On Time,40.81,Low Risk,Standard delivery process
Standard Class,207.1900024,64.23000336,1,On Time,On Time,40.67,Low Risk,Standard delivery process
First Class,209.9199982,-140.0099945,5,Late,Late,96.99,High Risk,Expedite shipment immediately
Standard Class,175.9900055,49.27999878,1,On Time,On Time,40.0,Low Risk,Standard delivery process
Standard Class,113.0899963,33.93000031,1,Late,On Time,39.83,Low Risk,Standard delivery process
Same Day,124.7900009,10.97999954,1,On Time,On Time,49.93,Low Risk,Standard delivery process
Standard Class,161.4900055,34.40000153,1,Late,On Time,38.7,Low Risk,Standard delivery process
Standard Class,116.9899979,36.61999893,1,On Time,On Time,39.52,Low Risk,Standard delivery process
Standard Class,90.0,24.75,2,Late,On Time,39.71,Low Risk,Standard delivery process
Second Class,107.8899994,-12.18999958,1,Late,Late,80.66,High Risk,Expedite shipment immediately
Standard Class,92.95999908,41.83000183,4,Late,On Time,41.24,Low Risk,Standard delivery process
Standard Class,110.4899979,-16.5699997,1,On Time,On Time,40.0,Low Risk,Standard delivery process
Second Class,237.5,61.75,5,Late,Late,81.03,High Risk,Expedite shipment immediately
Standard Class,283.480011,102.9000015,1,On Time,On Time,40.79,Low Risk,Standard delivery process
Standard Class,130.4499969,63.91999817,3,Late,On Time,40.9,Low Risk,Standard delivery process
Standard Class,129.9900055,63.70000076,1,Late,On Time,35.22,Low Risk,Standard delivery process
Second Class,91.0,27.29999924,2,Late,Late,78.92,Medium Risk,Monitor shipment closely
Second Class,124.7900009,-1.75,1,On Time,Late,81.43,High Risk,Expedite shipment immediately
Same Day,254.75,48.15000153,5,On Time,On Time,48.46,Low Risk,Standard delivery process
Standard Class,50.0,4.349999905,1,On Time,On Time,41.04,Low Risk,Standard delivery process
First Class,159.9600067,20.0,5,Late,Late,96.48,High Risk,Expedite shipment immediately
Standard Class,96.95999908,9.699999809,2,Late,On Time,40.18,Low Risk,Standard delivery process
First Class,54.59000015,20.63999939,1,Late,Late,94.67,High Risk,Expedite shipment immediately
Standard Class,151.1600037,26.45000076,4,Late,On Time,40.94,Low Risk,Standard delivery process
Second Class,24.87999916,8.210000038,2,Late,Late,79.86,Medium Risk,Monitor shipment closely
Standard Class,189.9499969,91.18000031,5,Late,On Time,42.09,Low Risk,Standard delivery process
Standard Class,176.9700012,61.93999863,1,On Time,On Time,40.65,Low Risk,Standard delivery process
Second Class,232.4100037,29.04999924,5,On Time,Late,81.54,High Risk,Expedite shipment immediately
Standard Class,144.0,41.75999832,3,On Time,On Time,39.82,Low Risk,Standard delivery process
Standard Class,101.9800034,15.30000019,2,On Time,On Time,40.48,Low Risk,Standard delivery process
Standard Class,118.2900009,57.95999908,1,On Time,On Time,38.78,Low Risk,Standard delivery process
Standard Class,245.9799957,61.5,1,On Time,On Time,40.82,Low Risk,Standard delivery process
Standard Class,272.980011,-382.1700134,1,On Time,On Time,40.87,Low Risk,Standard delivery process
First Class,189.9199982,-322.8699951,4,Late,Late,97.73,High Risk,Expedite shipment immediately
Standard Class,32.59999847,15.97000027,1,Late,On Time,41.3,Low Risk,Standard delivery process
Second Class,239.9799957,21.12000084,1,Late,Late,78.24,Medium Risk,Monitor shipment closely
First Class,227.9600067,107.1399994,4,Late,Late,96.81,High Risk,Expedite shipment immediately
Standard Class,113.0899963,45.24000168,1,On Time,On Time,41.16,Low Risk,Standard delivery process
Standard Class,191.9199982,60.0699997,4,Late,On Time,42.59,Low Risk,Standard delivery process
Standard Class,110.4899979,16.5699997,1,Late,On Time,39.9,Low Risk,Standard delivery process
Standard Class,185.9299927,-79.01999664,4,On Time,On Time,40.47,Low Risk,Standard delivery process
Standard Class,116.9899979,35.09999847,1,On Time,On Time,39.48,Low Risk,Standard delivery process
Standard Class,193.9499969,58.18999863,5,Late,On Time,40.48,Low Risk,Standard delivery process
Standard Class,189.0,-240.9799957,4,On Time,On Time,41.94,Low Risk,Standard delivery process
Standard Class,187.1600037,46.79000092,4,Late,On Time,40.86,Low Risk,Standard delivery process
Second Class,331.980011,96.27999878,1,Late,Late,79.66,Medium Risk,Monitor shipment closely
Standard Class,349.1600037,143.1600037,4,On Time,On Time,34.09,Low Risk,Standard delivery process
Standard Class,220.0,61.59999847,5,On Time,On Time,41.47,Low Risk,Standard delivery process
Standard Class,293.9700012,132.2899933,3,Late,On Time,39.21,Low Risk,Standard delivery process
Second Class,56.68999863,23.23999977,1,Late,Late,81.42,High Risk,Expedite shipment immediately
Same Day,105.5699997,18.47999954,3,On Time,Late,53.38,Medium Risk,Monitor shipment closely
First Class,200.0,-53.40000153,4,Late,Late,96.6,High Risk,Expedite shipment immediately
First Class,97.48999786,25.35000038,1,Late,Late,96.23,High Risk,Expedite shipment immediately
Standard Class,40.0,10.80000019,1,Late,On Time,40.81,Low Risk,Standard delivery process
Second Class,79.18000031,-122.7300034,2,On Time,Late,78.91,Medium Risk,Monitor shipment closely
First Class,383.980011,99.83999634,1,Late,Late,96.08,High Risk,Expedite shipment immediately
First Class,132.7700043,11.94999981,4,Late,Late,96.52,High Risk,Expedite shipment immediately
Standard Class,165.9799957,3.319999933,2,On Time,On Time,39.5,Low Risk,Standard delivery process
Standard Class,383.0299988,-306.4200134,1,Late,On Time,40.83,Low Risk,Standard delivery process
Standard Class,383.980011,184.3099976,1,Late,On Time,41.37,Low Risk,Standard delivery process
Standard Class,126.0,51.65999985,3,Late,On Time,40.52,Low Risk,Standard delivery process
Standard Class,118.2900009,-5.909999847,1,On Time,On Time,40.46,Low Risk,Standard delivery process
Second Class,299.980011,63.90000153,1,Late,Late,74.74,Medium Risk,Monitor shipment closely
First Class,335.980011,40.3199997,1,Late,Late,95.8,High Risk,Expedite shipment immediately
Second Class,420.3999939,88.27999878,1,Late,Late,81.83,High Risk,Expedite shipment immediately
Standard Class,359.9599915,89.98999786,5,Late,On Time,40.77,Low Risk,Standard delivery process
Standard Class,290.980011,-416.980011,1,Late,On Time,40.65,Low Risk,Standard delivery process
Same Day,170.0700073,21.26000023,3,Late,On Time,46.65,Low Risk,Standard delivery process
Standard Class,236.1600037,17.70999908,5,On Time,On Time,40.11,Low Risk,Standard delivery process
Standard Class,44.99000168,22.5,1,On Time,On Time,40.6,Low Risk,Standard delivery process
Standard Class,236.1600037,118.0800018,5,Late,On Time,39.22,Low Risk,Standard delivery process
Standard Class,129.9900055,11.43999958,1,Late,On Time,40.18,Low Risk,Standard delivery process
Standard Class,127.3899994,15.92000008,1,On Time,On Time,40.14,Low Risk,Standard delivery process
Standard Class,122.8399963,57.74000168,1,Late,On Time,32.92,Low Risk,Standard delivery process
Standard Class,167.9799957,58.79000092,2,Late,On Time,40.9,Low Risk,Standard delivery process
Standard Class,109.1900024,34.18000031,1,Late,On Time,40.21,Low Risk,Standard delivery process
Standard Class,188.9199982,51.00999832,4,On Time,On Time,41.61,Low Risk,Standard delivery process
Second Class,79.18000031,15.84000015,2,Late,Late,81.22,High Risk,Expedite shipment immediately
Standard Class,129.9900055,32.5,1,Late,On Time,38.46,Low Risk,Standard delivery process
Standard Class,363.980011,45.5,1,On Time,On Time,41.36,Low Risk,Standard delivery process
Standard Class,363.980011,-600.5700073,1,Late,On Time,38.8,Low Risk,Standard delivery process
Standard Class,185.9900055,66.95999908,1,On Time,On Time,40.0,Low Risk,Standard delivery process
Standard Class,39.18999863,9.800000191,1,On Time,On Time,39.85,Low Risk,Standard delivery process
Standard Class,339.980011,114.9100037,1,Late,On Time,38.55,Low Risk,Standard delivery process
Same Day,165.9900055,56.11000061,1,Late,Late,56.83,Medium Risk,Monitor shipment closely
Second Class,293.9500122,33.22000122,5,Late,Late,82.56,High Risk,Expedite shipment immediately
Standard Class,79.98999786,24.0,1,Late,On Time,39.96,Low Risk,Standard delivery process
Standard Class,260.980011,-5.21999979,1,Late,On Time,42.82,Low Risk,Standard delivery process
Same Day,149.9900055,73.5,1,Late,On Time,46.42,Low Risk,Standard delivery process
First Class,143.0099945,23.87999916,1,Late,Late,95.55,High Risk,Expedite shipment immediately
Second Class,103.9899979,49.91999817,1,Late,Late,81.0,High Risk,Expedite shipment immediately
Second Class,126.0899963,37.83000183,1,Late,Late,80.97,High Risk,Expedite shipment immediately
First Class,89.98000336,1.799999952,3,Late,Late,96.26,High Risk,Expedite shipment immediately
Standard Class,299.9500122,112.4800034,5,On Time,On Time,39.2,Low Risk,Standard delivery process
First Class,93.09999847,26.0699997,2,Late,Late,96.09,High Risk,Expedite shipment immediately
Second Class,399.980011,103.9899979,1,Late,Late,80.48,High Risk,Expedite shipment immediately
Standard Class,72.77999878,24.60000038,2,On Time,On Time,39.47,Low Risk,Standard delivery process
Standard Class,45.5,-5.139999866,1,On Time,On Time,40.92,Low Risk,Standard delivery process
Standard Class,207.5,74.69999695,5,On Time,On Time,39.44,Low Risk,Standard delivery process
Standard Class,129.9900055,62.40000153,1,On Time,On Time,36.26,Low Risk,Standard delivery process
Second Class,191.9199982,49.90000153,4,Late,Late,79.56,Medium Risk,Monitor shipment closely
Second Class,116.9899979,30.42000008,1,Late,Late,81.43,High Risk,Expedite shipment immediately
Standard Class,387.9599915,29.10000038,4,Late,On Time,38.8,Low Risk,Standard delivery process
Standard Class,93.70999908,7.03000021,5,On Time,On Time,41.4,Low Risk,Standard delivery process
First Class,128.6900024,40.27999878,1,Late,Late,95.83,High Risk,Expedite shipment immediately
Standard Class,22.48999977,6.300000191,1,Late,On Time,40.52,Low Risk,Standard delivery process
Same Day,293.980011,35.86999893,1,On Time,Late,51.76,Medium Risk,Monitor shipment closely
Standard Class,351.9599915,-80.59999847,4,On Time,On Time,37.44,Low Risk,Standard delivery process
First Class,38.95999908,19.47999954,1,Late,Late,95.46,High Risk,Expedite shipment immediately
Standard Class,81.97000122,9.260000229,2,On Time,On Time,41.41,Low Risk,Standard delivery process
Second Class,34.58000183,2.589999914,1,Late,Late,81.41,High Risk,Expedite shipment immediately
Standard Class,126.0,32.75999832,3,Late,On Time,40.16,Low Risk,Standard delivery process
First Class,55.79000092,16.73999977,1,Late,Late,94.78,High Risk,Expedite shipment immediately
Standard Class,124.5,42.08000183,3,On Time,On Time,39.6,Low Risk,Standard delivery process
Second Class,195.9499969,15.68000031,5,Late,Late,81.1,High Risk,Expedite shipment immediately
Standard Class,100.0,-22.5,2,On Time,On Time,40.16,Low Risk,Standard delivery process
Standard Class,179.9799957,86.38999939,2,Late,On Time,39.02,Low Risk,Standard delivery process
First Class,299.9500122,-17.10000038,5,Late,Late,97.67,High Risk,Expedite shipment immediately
First Class,292.8200073,84.91999817,1,Late,Late,95.75,High Risk,Expedite shipment immediately
First Class,122.8399963,10.81000042,1,Late,Late,96.71,High Risk,Expedite shipment immediately
Standard Class,42.47999954,5.309999943,1,Late,On Time,39.63,Low Risk,Standard delivery process
Standard Class,113.3799973,6.800000191,2,On Time,On Time,40.4,Low Risk,Standard delivery process
First Class,287.9500122,14.39999962,5,Late,Late,96.45,High Risk,Expedite shipment immediately
Second Class,132.0,13.19999981,3,Late,Late,80.08,High Risk,Expedite shipment immediately
Second Class,123.4899979,-8.770000458,1,On Time,Late,81.68,High Risk,Expedite shipment immediately
First Class,287.980011,40.3199997,1,Late,Late,95.7,High Risk,Expedite shipment immediately
Standard Class,105.5899963,7.920000076,1,Late,On Time,39.23,Low Risk,Standard delivery process
First Class,103.9899979,36.40000153,1,Late,Late,95.93,High Risk,Expedite shipment immediately
Standard Class,27.0,3.24000001,1,Late,On Time,39.67,Low Risk,Standard delivery process
Standard Class,105.5699997,35.68000031,3,On Time,On Time,38.99,Low Risk,Standard delivery process
First Class,95.98000336,21.30999947,2,Late,Late,95.8,High Risk,Expedite shipment immediately
Second Class,30.37999916,8.75,2,Late,Late,81.81,High Risk,Expedite shipment immediately
Standard Class,245.9799957,-180.3099976,1,On Time,On Time,40.17,Low Risk,Standard delivery process
Standard Class,132.7700043,-35.97999954,4,On Time,On Time,43.66,Low Risk,Standard delivery process
Same Day,89.98999786,10.17000008,2,On Time,Late,50.84,Medium Risk,Monitor shipment closely
Standard Class,107.8899994,26.96999931,1,On Time,On Time,40.33,Low Risk,Standard delivery process
First Class,254.9799957,94.33999634,1,Late,Late,95.97,High Risk,Expedite shipment immediately
Standard Class,105.5800018,50.68000031,2,Late,On Time,41.21,Low Risk,Standard delivery process
Standard Class,260.9599915,91.33000183,5,On Time,On Time,40.43,Low Risk,Standard delivery process
Standard Class,272.9500122,128.2899933,5,On Time,On Time,39.99,Low Risk,Standard delivery process
Standard Class,142.5299988,-79.8199997,3,On Time,On Time,40.19,Low Risk,Standard delivery process
First Class,319.9700012,137.5899963,4,Late,Late,97.03,High Risk,Expedite shipment immediately
